' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02,,,,,,,,,,,
' Test ID: 0,,,,,,,,,,,
' Run Started: 11/06(Jun)/2022 18:13:26,,,,,,,,,,,
' Scan Freq (Hz): 2000,,,,,,,,,,,
' Log Time (sec): 60; Delay Time (sec): 30; Clock Adj.: 1.000000,,,,,,,,,,,
' ,,,,,,,,,,,
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec)
0.085,44723.75968,170,-0.93,0.05,0.39,-1.01,0,0.04,0.1,0.1,3.4
0.0855,44723.75968,171,-0.73,0.15,0.1,-1.01,0,0.01,-0.1,0.2,1.5
0.086,44723.75968,172,-1.02,-0.05,0,-1.01,0,0.04,1.2,-0.1,1.5
0.0865,44723.75968,173,-0.83,-0.05,0.2,-1,-0.01,0.03,-0.1,0.9,-0.6
0.087,44723.75968,174,-0.83,0.15,0.2,-1.01,0,0.04,-1.2,-0.4,0.9
0.0875,44723.75968,175,-0.63,-0.15,0,-0.99,0,0.04,0,2.2,-1.2
0.088,44723.75968,176,-0.93,0.24,0.1,-1,0,0.03,0.2,0,-0.9
0.0885,44723.75968,177,-1.12,0.05,-0.1,-1,0,0.05,-0.6,-2.8,0.2
0.089,44723.75968,178,-1.22,-0.05,0,-1,0,0.02,-0.1,0.5,-1.5
0.0895,44723.75968,179,-1.02,-0.05,0.2,-1,-0.01,0.01,-1.1,1.8,0.9
0.09,44723.75968,180,-0.93,-0.05,-0.1,-0.99,-0.01,0.02,-1.7,-0.2,-0.9
0.0905,44723.75968,181,-0.83,0.44,0.1,-1,0,0.03,-1.1,-0.9,0.2
0.091,44723.75968,182,-0.93,0.15,0,-1.01,0,0.04,3.7,0.6,-1.5
0.0915,44723.75968,183,-1.02,-0.15,0.39,-1.01,0,0.03,-2.3,0.4,1.1
0.092,44723.75968,184,-1.12,0.05,0,-1.01,0.02,0.04,0.2,1.1,-0.4
0.0925,44723.75968,185,-1.12,-0.15,0,-1,0,0.02,0.2,-1.5,-0.7
0.093,44723.75968,186,-0.83,-0.15,-0.1,-0.99,0,0.04,0,0.1,-0.5
0.0935,44723.75968,187,-1.12,0.05,0,-0.99,0.01,0.05,1,0.6,1
0.094,44723.75968,188,-1.02,0.15,0.29,-0.99,-0.01,0.05,-0.7,-0.4,-0.1
0.0945,44723.75968,189,-0.93,-0.15,-0.1,-1.01,0,0.04,0.2,2,-0.2
0.095,44723.75968,190,-0.83,0.05,0,-1,-0.01,0.04,-0.9,-0.2,0.5
